game_id,analyst,choosed
1192,송영주,1.0
1193,송영주,0.5
1194,송영주,1.0
1195,송영주,1.0
1196,송영주,0.0
1198,송영주,1.0
1201,송영주,1.0
1202,송영주,1.0
1203,송영주,1.0
1204,송영주,1.0
1205,송영주,1.0
1206,송영주,0.5
1207,송영주,1.0
1208,송영주,1.0
1209,송영주,0.0
1210,송영주,0.0
1211,송영주,0.5
1212,송영주,0.0
1213,송영주,0.0
1214,송영주,1.0
1215,송영주,1.0
1216,송영주,0.5
1217,송영주,1.0
1218,송영주,1.0
1219,송영주,1.0
1220,송영주,0.0
1221,송영주,0.5
1222,송영주,0.5
1223,송영주,0.0
1224,송영주,1.0
1225,송영주,0.0
1226,송영주,0.0
1227,송영주,0.5
1229,송영주,1.0
1230,송영주,1.0
1231,송영주,0.5
1232,송영주,0.5
1233,송영주,1.0
1234,송영주,1.0
1235,송영주,0.0
1236,송영주,1.0
1237,송영주,1.0
1238,송영주,0.0
1239,송영주,1.0
1240,송영주,1.0
1242,송영주,0.0
1243,송영주,0.5
1250,김현회,0.0
1251,김현회,0.0
1252,김현회,1.0
1253,김현회,1.0
1254,김현회,1.0
1255,김현회,1.0
1256,김현회,0.5
1257,김현회,0.5
1258,송영주,0.0
1259,송영주,0.0
1260,송영주,1.0
1261,송영주,0.0
1262,송영주,0.5
1263,송영주,0.5
1264,김현회,1.0
1265,김현회,1.0
1266,김현회,1.0
1267,김현회,1.0
1268,김현회,0.5
1269,김현회,0.5
1270,김현회,0.0
1271,김현회,0.0
1272,김현회,0.0
1273,김현회,0.0
1274,김현회,0.5
1275,김현회,0.5
1276,송영주,1.0
1277,송영주,1.0
1278,송영주,1.0
1279,송영주,1.0
1280,송영주,0.5
1281,송영주,1.0
1282,송영주,1.0
1283,송영주,0.0
1284,송영주,0.0
1285,송영주,1.0
1286,송영주,1.0
1287,송영주,0.0
1288,송영주,1.0
1289,송영주,1.0
1290,송영주,0.0
1291,송영주,1.0
1292,송영주,0.0
1293,송영주,0.5
1317,김현회,1.0
1318,김현회,1.0
1319,김현회,0.0
1320,김현회,1.0
1321,김현회,0.0
1322,김현회,0.0
1323,김현회,1.0
1324,김현회,1.0
1325,김현회,1.0
1326,김현회,1.0
1327,김현회,1.0
1328,송영주,0.0
1329,송영주,0.0
1330,송영주,0.0
1331,송영주,1.0
1332,송영주,1.0
1333,송영주,0.0
1334,송영주,1.0
1335,송영주,1.0
1336,송영주,1.0
1337,송영주,1.0
1338,송영주,0.5
1339,송영주,1.0
1340,송영주,0.0
1341,송영주,1.0
1342,송영주,1.0
1343,송영주,0.0
1344,김현회,0.0
1345,김현회,1.0
1346,김현회,0.0
1347,김현회,1.0
1348,김현회,1.0
1349,김현회,0.5
1350,김현회,1.0
1351,김현회,0.0
1352,김현회,1.0
1353,김현회,0.0
1354,김현회,0.0
1361,김현회,1.0
1362,김현회,1.0
1363,김현회,0.0
1364,김현회,1.0
1365,김현회,0.5
1366,김현회,0.0
